especie,nome_comum,status_2014,status_2026,is_cr,proba_extincao,bioma_amazonia,bioma_mata_atlantica,bioma_cerrado,bioma_caatinga,bioma_pampa,bioma_pantanal,bioma_sistema_costeiro_marinho,regiao_norte,regiao_nordeste,regiao_sudeste,regiao_sul,regiao_centro_oeste,is_endemica,is_migratoria,tendencia_declinando,ameaca_expansao_urbana,ameaca_agropecuaria,ameaca_energia_mineracao,ameaca_transporte,ameaca_uso_recursos,ameaca_perturbacao_humana,ameaca_modificacoes_sistema,ameaca_invasoras,ameaca_poluicao,ameaca_mudancas_climaticas,risco_inicial_2014
Sporophila falcirostris,cigarra-verdadeira,VU,VU,0,0.2669871613379052,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1.0
Campylopterus diamantinensis,Não Informado,NE,DD,0,0.2648604237103378,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0.0
Elaenia ridleyana,cocoruta,VU,VU,0,0.2643064291073493,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1.0
Myrmotherula unicolor,choquinha-cinzenta,NE,LC,0,0.26157186083709677,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.0
Scytalopus diamantinensis,tapaculo-da-chapada-diamantina,EN,VU,0,0.2613340818488447,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,2.0
Hemitriccus orbitatus,tiririzinho-do-mato,NE,LC,0,0.25989500673701843,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0.0
Spheniscus magellanicus,pinguim-de-magalhães,NE,NT,0,0.25661994054325843,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.0
Sclerurus cearensis,vira-folha-cearense,EN,EN,0,0.2562499484932064,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,2.0
Nyctibius aethereus,mãe-da-lua-parda,NE,EN,0,0.25521780226366775,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0.0
Nyctiprogne vielliardi,bacurau-do-são-francisco,EN,NT,0,0.24912230397624258,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,2.0
Pelagodroma marina,calcamar,NE,,0,0.24592265610526495,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0.0
Phaethon aethereus,"grazina, rabo-de-junco, rabo-de-palha-de-bico-vermelho",EN,EN,0,0.24531724314888909,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,2.0
Thripophaga macroura,rabo-amarelo,VU,VU,0,0.2382065390908267,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1.0
Jacamaralcyon tridactyla,cuitelão,NE,LC,0,0.2378095966275187,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0.0
Lipaugus lanioides,tropeiro-da-serra,NE,NT,0,0.23337052240822018,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.0
Anumara forbesi,anumará,VU,VU,0,0.23310307866682478,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,1.0
Ortalis squamata,aracuã-escamoso,NE,LC,0,0.23225131490279732,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0.0
Orchesticus abeillei,sanhaçu-pardo,NE,LC,0,0.22790528675559135,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.0
Anthus nattereri,caminheiro-grande,VU,VU,0,0.2271383931057034,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1.0
Phylloscartes kronei,maria-da-restinga,NE,LC,0,0.22351939360953524,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0.0
Arremon franciscanus,tico-tico-do-são-francisco,NE,NT,0,0.2218101294902588,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0.0
Hemitriccus griseipectus,maria-de-barriga-branca,NE,LC,0,0.22006895384227784,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0.0
Polystictus superciliaris,papa-moscas-de-costas-cinzentas,NE,LC,0,0.21950161561828935,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0.0
Nyctidromus hirundinaceus,bacurauzinho-da-caatinga,NE,LC,0,0.2189802306367811,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0.0
Asthenes moreirae,garrincha-chorona,NE,LC,0,0.21815974227539064,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0.0
Hydrobates castro,painho-da-ilha-da-madeira,NE,,0,0.21801751652306198,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0.0
Cinclodes espinhacensis,pedreiro-do-espinhaço,EN,EN,0,0.2163288979212089,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,2.0
Penelope jacucaca,jacucaca,VU,VU,0,0.21526079974421003,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1.0
Herpsilochmus pileatus,chorozinho-de-boné,NE,NT,0,0.2148059227757977,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0.0
Carpornis cucullata,corocoxó,NE,LC,0,0.21465736934339052,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0.0
Alipiopsitta xanthops,papagaio-galego,NE,LC,0,0.21394587866448006,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0.0
Sakesphoroides niedeguidonae,choca-do-nordeste-de-cauda-barrada,NE,LC,0,0.21056708640499328,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0.0
Alectrurus risora,tesoura-do-campo,NE,,0,0.21039486862303078,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0.0
Tinamus solitarius,macuco,NE,NT,0,0.21007118280605666,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0.0
Pterodroma hasitata,diablotim,NE,,0,0.20895491221053472,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0.0
